"","gene_name","LipidProbe","logFC","pvalue","hit_annotation"
"390","ATP5O","PE",1.6234003,0.0011672,"enriched hit"
"391","GLUD1","PA",1.1635431,0.0378675,"enriched candidate"
"392","GLUD1","PE",1.4708045,0.0109963,"enriched candidate"
"393","SRPRA","PA",0.8512058,0.0392771,"enriched candidate"
"394","SRPRA","PE",0.8844125,0.0329737,"enriched candidate"
"395","CACYBP","PA",-0.8579596,0.0393082,"no hit"
"396","CACYBP","PE",-0.9174785,0.0287563,"no hit"
"397","TFG","PA",-1.1244618,0.0396581,"no hit"
"398","TFG","PE",-1.1206098,0.0402656,"no hit"
"399","BTF3","PA",-1.2375595,0.0404243,"no hit"
"400","BTF3","PE",-1.7200158,0.006574,"no hit"
"401","ZNF598","PA",-0.7775675,0.041073,"no hit"
"402","ZNF598","PE",-0.9992775,0.0111141,"no hit"
"403","S100A6","PA",-1.3047142,0.0411125,"no hit"
"404","S100A6","PE",-1.6077461,0.0142806,"no hit"
"405","S100A11","PA",-1.3524704,0.0412764,"no hit"
"406","S100A11","PE",-2.2091287,0.0020713,"no hit"
"407","TALDO1","PA",-1.3120526,0.0413439,"no hit"
"408","TALDO1","PE",-1.6459841,0.0129596,"no hit"
"409","NPEPPS","PA",-0.6058937,0.0414172,"no hit"
"410","NPEPPS","PE",-0.5433176,0.0645348,"no hit"
"411","GNAI3","PA",0.8393447,0.0415973,"enriched candidate"
"412","GNAI3","PE",0.9391857,0.0244602,"enriched candidate"
"413","FKBP4","PA",-0.6903636,0.0416527,"no hit"
"414","FKBP4","PE",-0.3854934,0.2367259,"no hit"
"415","PTGR1","PA",-0.7531171,0.0417106,"no hit"
"416","PTGR1","PE",-0.990376,0.0098556,"no hit"
"417","SERBP1","PA",-1.807928,0.042747,"no hit"
"418","SERBP1","PE",-2.5061499,0.0072845,"no hit"
"419","CSE1L","PA",-0.8647388,0.0431564,"no hit"
"420","CSE1L","PE",-0.7954495,0.0607079,"no hit"
"421","MIF","PA",-1.04417,0.0435434,"no hit"
"422","MIF","PE",-1.4407526,0.0077227,"no hit"
"423","ECH1","PA",1.0900183,0.0437041,"enriched candidate"
"424","ECH1","PE",1.5722015,0.0057688,"enriched hit"
"425","B4GALT1","PA",-0.7047253,0.0438584,"no hit"
"426","B4GALT1","PE",-0.8345779,0.0193717,"no hit"
"427","ANXA1","PA",-0.5224248,0.0441086,"no hit"
"428","ANXA1","PE",-0.2255554,0.3627332,"no hit"
"429","CTTN","PA",0.9015442,0.0445032,"enriched candidate"
"430","CTTN","PE",0.8124718,0.067396,"enriched candidate"
"431","PTGFRN","PA",0.7274874,0.0448288,"enriched candidate"
"432","PTGFRN","PE",0.5533771,0.1184281,"no hit"
"433","IQGAP1","PA",1.3980589,0.0448654,"enriched candidate"
"434","IQGAP1","PE",1.3611695,0.0501907,"enriched candidate"
"435","TXNDC5","PA",0.6153251,0.044958,"enriched candidate"
"436","TXNDC5","PE",0.8399299,0.0086885,"enriched candidate"
"437","MDH2","PA",0.8705424,0.0449768,"enriched candidate"
"438","MDH2","PE",1.3314963,0.0039903,"enriched hit"
"439","UQCRC1","PA",0.7136781,0.0451219,"enriched candidate"
"440","UQCRC1","PE",1.1517412,0.0026798,"enriched hit"
